round,session_name,session_date,time_utc,time_jst
1,Free Practice 1,2025-03-14,01:30,10:30
1,Free Practice 2,2025-03-14,05:00,14:00
1,Free Practice 3,2025-03-15,01:30,10:30
1,Qualifying,2025-03-15,05:00,14:00
1,Race,2025-03-16,04:00,13:00
2,Free Practice 1,2025-03-21,03:30,12:30
2,Qualifying,2025-03-21,07:30,16:30
2,Sprint,2025-03-22,03:00,12:00
2,Qualifying,2025-03-22,07:00,16:00
2,Race,2025-03-23,07:00,16:00
3,Free Practice 1,2025-04-04,02:30,11:30
3,Free Practice 2,2025-04-04,06:00,15:00
3,Free Practice 3,2025-04-05,02:30,11:30
3,Qualifying,2025-04-05,06:00,15:00
3,Race,2025-04-06,05:00,14:00
4,Free Practice 1,2025-04-11,11:30,20:30
4,Free Practice 2,2025-04-12,15:00,00:00
4,Free Practice 3,2025-04-12,12:30,21:30
4,Qualifying,2025-04-13,16:00,01:00
4,Race,2025-04-14,15:00,00:00
5,Free Practice 1,2025-04-18,13:30,22:30
5,Free Practice 2,2025-04-19,17:00,02:00
5,Free Practice 3,2025-04-19,13:30,22:30
5,Qualifying,2025-04-20,17:00,02:00
5,Race,2025-04-21,17:00,02:00
6,Free Practice 1,2025-05-03,16:30,01:30
6,Qualifying,2025-05-03,20:30,05:30
6,Sprint,2025-05-04,16:00,01:00
6,Qualifying,2025-05-04,20:00,05:00
6,Race,2025-05-05,20:00,05:00
7,Free Practice 1,2025-05-16,11:30,20:30
7,Free Practice 2,2025-05-17,15:00,00:00
7,Free Practice 3,2025-05-17,10:30,19:30
7,Qualifying,2025-05-17,14:00,23:00
7,Race,2025-05-18,13:00,22:00
8,Free Practice 1,2025-05-23,11:30,20:30
8,Free Practice 2,2025-05-24,15:00,00:00
8,Free Practice 3,2025-05-24,10:30,19:30
8,Qualifying,2025-05-24,14:00,23:00
8,Race,2025-05-25,13:00,22:00
9,Free Practice 1,2025-05-30,11:30,20:30
9,Free Practice 2,2025-05-31,15:00,00:00
9,Free Practice 3,2025-05-31,10:30,19:30
9,Qualifying,2025-05-31,14:00,23:00
9,Race,2025-06-01,13:00,22:00
10,Free Practice 1,2025-06-14,17:30,02:30
10,Free Practice 2,2025-06-14,21:00,06:00
10,Free Practice 3,2025-06-15,16:30,01:30
10,Qualifying,2025-06-15,20:00,05:00
10,Race,2025-06-16,18:00,03:00
11,Free Practice 1,2025-06-27,10:30,19:30
11,Free Practice 2,2025-06-27,14:30,23:30
11,Free Practice 3,2025-06-28,10:00,19:00
11,Qualifying,2025-06-28,14:00,23:00
11,Race,2025-06-29,13:00,22:00
12,Free Practice 1,2025-07-04,11:30,20:30
12,Free Practice 2,2025-07-05,15:00,00:00
12,Free Practice 3,2025-07-05,10:30,19:30
12,Qualifying,2025-07-05,14:00,23:00
12,Race,2025-07-06,14:00,23:00
13,Free Practice 1,2025-07-25,11:30,20:30
13,Qualifying,2025-07-26,15:00,00:00
13,Sprint,2025-07-26,10:30,19:30
13,Qualifying,2025-07-26,14:00,23:00
13,Race,2025-07-27,13:00,22:00
14,Free Practice 1,2025-08-01,11:30,20:30
14,Free Practice 2,2025-08-02,15:00,00:00
14,Free Practice 3,2025-08-02,10:30,19:30
14,Qualifying,2025-08-02,14:00,23:00
14,Race,2025-08-03,13:00,22:00
15,Free Practice 1,2025-08-29,10:30,19:30
15,Free Practice 2,2025-08-29,14:00,23:00
15,Free Practice 3,2025-08-30,09:30,18:30
15,Qualifying,2025-08-30,13:00,22:00
15,Race,2025-08-31,13:00,22:00
16,Free Practice 1,2025-09-05,11:30,20:30
16,Free Practice 2,2025-09-06,15:00,00:00
16,Free Practice 3,2025-09-06,10:30,19:30
16,Qualifying,2025-09-06,14:00,23:00
16,Race,2025-09-07,13:00,22:00
17,Free Practice 1,2025-09-19,08:30,17:30
17,Free Practice 2,2025-09-19,12:00,21:00
17,Free Practice 3,2025-09-20,08:30,17:30
17,Qualifying,2025-09-20,12:00,21:00
17,Race,2025-09-21,11:00,20:00
18,Free Practice 1,2025-10-03,09:30,18:30
18,Free Practice 2,2025-10-03,13:00,22:00
18,Free Practice 3,2025-10-04,09:30,18:30
18,Qualifying,2025-10-04,13:00,22:00
18,Race,2025-10-05,12:00,21:00
19,Free Practice 1,2025-10-18,17:30,02:30
19,Qualifying,2025-10-18,21:30,06:30
19,Sprint,2025-10-19,17:00,02:00
19,Qualifying,2025-10-19,21:00,06:00
19,Race,2025-10-20,19:00,04:00
20,Free Practice 1,2025-10-25,18:30,03:30
20,Free Practice 2,2025-10-25,22:00,07:00
20,Free Practice 3,2025-10-26,17:30,02:30
20,Qualifying,2025-10-26,21:00,06:00
20,Race,2025-10-27,20:00,05:00
21,Free Practice 1,2025-11-07,14:30,23:30
21,Qualifying,2025-11-08,18:30,03:30
21,Sprint,2025-11-08,14:00,23:00
21,Qualifying,2025-11-09,10:30,19:30
21,Race,2025-11-10,15:30,00:30
22,Free Practice 1,2025-11-21,00:30,09:30
22,Free Practice 2,2025-11-21,04:00,13:00
22,Free Practice 3,2025-11-22,00:30,09:30
22,Qualifying,2025-11-22,04:00,13:00
22,Race,2025-11-23,04:00,13:00
23,Free Practice 1,2025-11-28,13:30,22:30
23,Qualifying,2025-11-29,17:30,02:30
23,Sprint,2025-11-29,14:00,23:00
23,Qualifying,2025-11-30,18:00,03:00
23,Race,2025-12-01,16:00,01:00
24,Free Practice 1,2025-12-05,09:30,18:30
24,Free Practice 2,2025-12-05,13:00,22:00
24,Free Practice 3,2025-12-06,10:30,19:30
24,Qualifying,2025-12-06,14:00,23:00
24,Race,2025-12-07,13:00,22:00